date,url,title
2016-05-04,http://wooyun.org/bugs/wooyun-2016-0204941,新浪微博之点击我的链接就登录你的微博(JSONP劫持)
2016-06-21,http://wooyun.org/bugs/wooyun-2016-0221605,万惠金融PPmoney平台存在SQl注入（可能涉及敏感数据）
2016-05-03,http://wooyun.org/bugs/wooyun-2016-0204624,阿里巴巴集团内部运维敏感信息泄露
2016-05-08,http://wooyun.org/bugs/wooyun-2016-0206115,美的某站弱口令涉及660万客户订单（姓名/电话/住址/单号/购买物品）
2016-05-08,http://wooyun.org/bugs/wooyun-2016-0206169,wifi安全之无线城市多处越权及sql注入（可控制北京近3000个路由器 ）
2016-05-08,http://wooyun.org/bugs/wooyun-2016-0206153,乐视某处一处SQL注入+未授权访问
2016-05-07,http://wooyun.org/bugs/wooyun-2016-0206052,乐视网某处未授权访问可入内网
2016-03-21,http://wooyun.org/bugs/wooyun-2016-0186856,搜狗浏览器跨域脚本漏洞
2016-06-16,http://wooyun.org/bugs/wooyun-2016-0219921,新浪乐居某系统存在SQL注入漏洞
2016-05-07,http://wooyun.org/bugs/wooyun-2016-0206015,中国东方航空股份有限公司某站SQL注入
2016-05-07,http://wooyun.org/bugs/wooyun-2016-0205959,新浪乐居MYSQL管理系统弱口令（泄露大量内部信息）
2016-03-23,http://wooyun.org/bugs/wooyun-2016-0188026,TodayMail邮件系统涉及缺陷可导致多个漏洞（任意邮件读取/SQL注入漏洞/命令执行/任意文件删除）
2016-05-05,http://wooyun.org/bugs/wooyun-2016-0205292,中国银行某APP存在SQL注入/ROOT权限（影响理财数据安全）
2016-06-20,http://wooyun.org/bugs/wooyun-2016-0221041,天弘基金主站存在MySql注入
2016-06-16,http://wooyun.org/bugs/wooyun-2016-0219717,网秦某站弱口令导致的一次内网漫游
2016-05-06,http://wooyun.org/bugs/wooyun-2016-0205815,小咖秀官方APP远程命令执行
2016-05-06,http://wooyun.org/bugs/wooyun-2016-0205836,快手APP存在命令执行漏洞
2016-05-05,http://wooyun.org/bugs/wooyun-2016-0205124,腾讯又一XSS被广泛用于黑产
2016-05-05,http://wooyun.org/bugs/wooyun-2016-0205256,人人网多站命令执行
2016-05-05,http://wooyun.org/bugs/wooyun-2016-0205171,人人网某漏洞导致直接Getshell影响主干网络直入内网
2016-05-11,http://wooyun.org/bugs/wooyun-2016-0207430,搜狐某内部账户外泄可登录大量内部系统
2016-05-11,http://wooyun.org/bugs/wooyun-2016-0207420,1号店某系统st2命令执行（防护绕过）
2016-05-08,http://wooyun.org/bugs/wooyun-2016-0206237,百度图片服务器的一处SSRF
2016-05-10,http://wooyun.org/bugs/wooyun-2016-0207001,乐视两个服务器的zabbix弱口令可shell可内网
2016-05-06,http://wooyun.org/bugs/wooyun-2016-0205849,腾讯某app命令执行可内网
